start,end,register,perfomance_summary/year,perfomance_summary/quarter_year,perfomance_summary/month,perfomance_summary/sub_county_counties,perfomance_summary/sub_county_sub_counties,perfomance_summary/sub_county_contituency,perfomance_summary/sub_county,perfomance_summary/project_type,perfomance_summary/banana_projects,perfomance_summary/exp_contribution,perfomance_summary/actual_contribution,perfomance_summary/community_contribution,membership/m_members,membership/f_members,membership/total_members,membership/v_members,membership/m_pmc_members,membership/f_pmc_members,membership/total_pmc_members,membership/v_pmc_members,meetings/epmc_em,meetings/epmc_mh,meetings/epmc_mh_percentage,meetings/epmc_expected_members,meetings/epmc_members_attended,meetings/epmc_ma_percentage,meetings/mmm_em,meetings/mmm_mh,meetings/mmm_mh_percentage,meetings/mmm_expected_members,meetings/mmm_members_attended,meetings/mmm_ma_percentage,meetings/spm_em,meetings/agm_em,meetings/agm_mh,meetings/agm_mh_percentage,meetings/agm_expected_members,meetings/agm_members_attended,meetings/agm_ma_percentage,mproject_performance/plantlets_target,mproject_performance/plantlets_achievement,mproject_performance/plantlets_percentage,mproject_performance/plantlets_proceeds_target,mproject_performance/plantlets_proceeds_achievement,mproject_performance/plantlets_proceeds_percentage,mproject_performance/acreage_target,mproject_performance/acreage_achievement,mproject_performance/acreage_percentage,mproject_performance/bb_harvested_target,mproject_performance/bb_harvested_achievement,mproject_performance/bb_harvested_percentage,mproject_performance/ssold_target,mproject_performance/ssold_achievement,mproject_performance/ssold_percentage,mproject_performance/expected_funds,mproject_performance/funds_recieved,mproject_performance/funds_recieved_percentage,mproject_performance/funds_expenditure,mproject_performance/funds_expenditure_percentage,impact_information/db_target,impact_information/db_achievement,impact_information/db_percentage,impact_information/fb_target,impact_information/fb_achievement,impact_information/fb_percentage,impact_information/mb_target,impact_information/mb_achievement,impact_information/mb_percentage,impact_information/vb_target,impact_information/vb_achievement,impact_information/vb_percentage,impact_information/grp_target,impact_information/grp_achievement,impact_information/grp_percentage,impact_information/bnf_income_target,impact_information/bnf_income_achievement,impact_information/bnf_income_percentage,impact_information/b_income,impact_information/b_improved_houses,impact_information/b_hh_assets,impact_information/no_children,impact_information/observations,impact_information/recommendations,photo_signatures/project_photo,photo_signatures/admin_change,photo_signatures/admin_list/chairperson,photo_signatures/admin_list/secretary,photo_signatures/admin_list/treasurer,photo_signatures/admin_list/none,photo_signatures/new_chair,photo_signatures/nc-contact,photo_signatures/new_secretary,photo_signatures/ns-contact,photo_signatures/new_treasurer,photo_signatures/nt-contact,photo_signatures/signature_treasurer,photo_signatures/chair_person,photo_signatures/signature_chair,photo_signatures/sec_name,photo_signatures/signature_sec,photo_signatures/date_compiled,meta/instanceID,_uuid,_submission_time,_tags,_notes
2013-12-29T15:39:11.631+03,2014-01-06T18:38:06.633+03,yes,2013_14,q_2,12,bungoma,bungoma,sirisia,kuywa,cap,WDER,192810,201350,104,39,43,82,17,3,2,5,1,5,5,100,5,4,80,82,3,4,82,53,65,1,1,1,100,82,69,84,2817,2817,100,2000,0,0,20,5,25,1660,0,0,2800,0,0,449890,449890,100,369200,82,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1388739244408.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Henry Kuloba,1388739278571.jpg,Erick muindi,1388739388529.jpg,2013-12-29,uuid:333c0288-3703-459f-87ca-3c3b136d811f,333c0288-3703-459f-87ca-3c3b136d811f,2014-01-06T19:08:27,,
2013-10-10T17:19:16.189+03,2014-01-07T05:04:56.963+03,yes,2013_14,q_2,12,bungoma,bungoma,sirisia,c_namwela,cap,TG3Z,193200,201050,104,87,150,237,51,3,2,5,1,6,5,83,5,5,100,3,3,100,211,92,44,2,0,0,0,237,0,0,3258,2358,72,2000,0,0,120,89,74,16000,0,0,6000,0,0,366000,366000,100,258800,71,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1388731132278.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Backson Wandabwa,1381557436696.jpg,Bernard Walukana,1381557476394.jpg,2013-12-30,uuid:efc2ac36-433d-474a-8fd6-8282eedd8706,efc2ac36-433d-474a-8fd6-8282eedd8706,2014-01-07T03:58:35,,
2013-09-28T21:39:09.588+03,2013-09-28T22:05:25.388+03,yes,2012_13,q_4,6,kakamega,lugari,lugari,kiliboti,cap,Kiliboti tissue culture,30500,10500,34,40,21,61,61,3,2,5,5,6,5,83,5,4,80,3,2,67,61,50,82,1,1,0,0,61,0,0,4341,1447,33,4341,1447,33,10,5,50,600,300,50,1020000,120000,12,540000,540000,100,540000,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1380395047523.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,O,n/a,2013-09-28,uuid:58c9b133-60b7-4d0e-a9c5-2ae82911f120,58c9b133-60b7-4d0e-a9c5-2ae82911f120,2013-09-28T19:50:40,,
2013-11-20T21:57:30.628+03,2013-11-20T22:05:22.694+03,yes,2013_14,q_1,9,bungoma,bungoma,webuye,sitikho,cap,4GHD,263280,296630,113,21,35,56,12,3,2,5,1,6,5,83,5,4,80,3,4,133,56,31,55,0,0,0,0,56,0,0,2300,1700,74,250,0,0,100,26,26,2500,0,0,1960,0,0,215000,215000,100,201500,94,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1384974253006.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Daniel Barasa,1384974279475.jpg,George Wekesa,1384974299493.jpg,2013-10-16,uuid:2b51ddf9-7fd0-4f10-abda-7b56cae122dc,2b51ddf9-7fd0-4f10-abda-7b56cae122dc,2013-11-23T09:59:40,,
2013-08-01T10:58:36.826+03,2013-08-10T22:49:52.146+03,yes,2012_13,q_4,6,bungoma,bungoma,bumula,kabula,cap,5EUH,123375,110900,90,120,80,200,10,3,2,5,0,12,12,100,5,5,100,3,4,133,200,156,78,1,1,0,0,200,0,0,3000,1500,50,2000,2300,115,100,20,20,200000,30000,15,136000,7200,5,360000,360000,100,180000,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1375345906473.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Joseph J. Mukananachi,1375345960121.jpg,Antony Masinde,1375346093091.jpg,2013-08-01,uuid:b2559eae-aa40-42c0-89a2-f05473a6746e,b2559eae-aa40-42c0-89a2-f05473a6746e,2013-08-10T20:16:45,,
2013-08-28T08:11:52.046+03,2013-08-28T08:35:53.756+03,yes,2013_14,q_1,7,busia,busia,butula,bumala_b_,cap,EDA9,196647,109800,56,18,22,40,15,3,3,6,1,8,6,75,7,6,86,3,3,100,40,32,80,0,1,0,0,40,0,0,2700,1000,37,231,0,0,40,10,25,0,0,0,0,0,0,458843,174300,38,147000,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1377667922918.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mr.Silvanus Oyosa,1377668090764.jpg,Mrs. Clare Okumu,1377668137615.jpg,2013-08-28,uuid:a55d3977-36d3-4f9c-a43f-167d83eb8288,a55d3977-36d3-4f9c-a43f-167d83eb8288,2013-08-28T06:39:50,,
2013-08-12T12:09:44.215+03,2013-08-12T12:49:11.322+03,yes,2013_14,q_1,7,busia,teso,amagoro,koruruma,cap,V68G,1600,1050,66,20,5,25,7,2,1,3,1,3,3,100,3,3,100,3,3,100,25,18,72,1,1,1,100,25,25,100,1300,300,23,2000,0,0,1,6,600,250,60,24,300,0,0,260000,260000,100,260000,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1376300817536.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Filgrina odeke,1376300903378.jpg,Mark otaruk,1376300935401.jpg,2013-08-12,uuid:044bfe50-c9b9-4ff6-81df-2b287042273d,044bfe50-c9b9-4ff6-81df-2b287042273d,2013-08-17T05:03:03,,
2013-08-15T10:44:10.992+03,2013-08-15T11:00:37.159+03,yes,2013_14,q_1,6,busia,teso,amagoro,koruruma,cap,V68G,1600,2050,128,20,5,25,7,2,1,3,1,3,3,100,3,3,100,3,3,100,25,18,72,0,1,0,0,25,0,0,1300,300,23,250,0,0,25,6,24,250,60,24,1300,150,12,260000,260000,100,260000,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1376553465873.jpg,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Filgirina odeke,1376553582606.jpg,Mark otaruk,1376553618253.jpg,2013-08-15,uuid:850487cd-458c-400b-8e11-c8ad72560458,850487cd-458c-400b-8e11-c8ad72560458,2013-08-15T17:55:18,,
2013-08-10T16:05:47.399+03,2013-08-10T19:37:31.905+03,yes,2012_13,q_4,6,bungoma,bungoma,sirisia,c_namwela,cap,TG3Z,193200,201050,104,87,150,237,51,3,2,5,1,6,6,100,5,4,80,3,4,133,237,211,89,2,0,0,0,237,0,0,3258,2538,78,2000,0,0,120,89,74,16000,0,0,6000,0,0,366000,366000,100,258800,71,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1376140673295.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Backson Wandabwa,1376140707427.jpg,Bernard Walukana,1376140750951.jpg,2013-08-08,uuid:7db7ea45-f982-4db5-8a75-f18a83b48482,7db7ea45-f982-4db5-8a75-f18a83b48482,2013-08-11T05:52:15,,
2013-08-22T08:03:15.131+03,2013-08-22T09:27:11.479+03,yes,2013_14,q_4,7,busia,busia,butula,bumala_b_,cap,EDA9,196640,123350,63,18,22,40,10,3,4,7,1,4,4,100,7,6,86,3,3,100,40,35,88,1,1,1,100,40,32,80,2700,1000,37,500,0,0,20,10,50,0,0,0,0,0,0,458834,174300,38,174300,38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1377149226511.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,2013-08-22,uuid:32802fa8-b82b-4080-8f91-ac467167a8c2,32802fa8-b82b-4080-8f91-ac467167a8c2,2013-08-26T09:02:12,,
2013-08-20T17:18:14.324+03,2013-08-21T20:45:39.989+03,yes,2012_13,q_4,6,bungoma,bungoma,bumula,mukwa,cap,XKVP,5259,199605,3795,8,44,52,4,4,4,8,1,3,3,100,5,4,80,3,5,167,52,43,83,0,0,0,0,52,45,87,2000,1400,70,10000,3000,30,80,40,50,10000,1600,16,6000,3000,50,245448,245448,100,131300,53,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1377106638659.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Beatrice Wanjala,1377107041509.jpg,Bibiana Okape,1377107114663.jpg,2013-08-11,uuid:6b86724c-c40f-4006-95da-c0d34d21c6ff,6b86724c-c40f-4006-95da-c0d34d21c6ff,2013-08-24T17:29:10,,
2014-03-05T15:57:33.949+03,2014-03-05T16:42:10.144+03,yes,2013_14,q_3,2,siaya,siaya,ugenya,ruwe,yap,RUBA,108000,75000,69,35,37,72,10,3,2,5,0,2,1,50,5,3,60,1,1,100,72,32,44,1,1,0,0,304,0,0,1000,0,0,1000,0,0,17,5,29,210,0,0,210,0,0,360000,360000,100,0,0,100,72,72,50,37,74,50,35,70,25,10,40,126000,0,0,7000,0,0,0,0,0,0,The project is kicking off verry well,We recomend timely investment,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Daniel Odhimbo Odongo,1394026833614.jpg,Robine Anyango Omondi,1394026913548.jpg,2014-03-05,uuid:6266c902-63ff-4575-ab64-432421bed823,6266c902-63ff-4575-ab64-432421bed823,2014-03-11T18:03:31,,
2014-03-12T14:37:44.926+03,2014-03-12T15:36:00.579+03,yes,2013_14,q_3,3,siaya,bondo,bondo,nyang_oma,cap,Po90,138300,179735,130,17,14,31,11,4,3,7,2,2,2,100,7,7,100,2,2,100,31,20,65,1,0,0,0,31,0,0,400,300,75,100,50,50,2,1,50,6,6,100,1500,50,3,200000,200000,100,200000,100,50,31,62,20,30,150,30,1,3,60,11,18,70000,10300,15,2334,0,0,0,0,0,0,The group has observed that there will be increase in production due to hard work,None,1394627747085.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,2014-03-12,uuid:8858ddb4-01c1-4245-8565-4fbc539786b0,8858ddb4-01c1-4245-8565-4fbc539786b0,2014-03-12T14:27:53,,
2014-03-04T10:26:26.794+03,2014-03-04T10:43:05.782+03,yes,2013_14,q_2,3,busia,busia,butula,bumala_b_,cap,EDA9,196647,12335,6,18,22,40,5,2,5,7,2,6,5,83,7,6,86,3,2,67,40,28,70,1,1,1,100,40,30,75,2700,1300,48,300,300,100,40,10,25,1500,0,0,4000,0,0,458843,174300,38,184635,40,100,40,40,58,22,38,42,18,43,30,5,17,420000,0,0,100000,0,0,32,30,21,680,They more suckers,The bananas are doing well.,1393918880001.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,1393918921798.jpg,0,1393918951668.jpg,2014-03-04,uuid:3d72f050-1006-4372-abad-5aaa0bc73b39,3d72f050-1006-4372-abad-5aaa0bc73b39,2014-03-12T15:55:01,,
2014-03-12T10:09:31.079+03,2014-03-12T11:18:13.866+03,yes,2013_14,q_3,2,bungoma,bungoma,kimilili,makhonge,cap,MTC3,25500,0,0,50,32,82,12,3,2,5,1,1,1,100,5,5,100,1,0,0,82,0,0,0,0,0,0,0,0,0,300,0,0,300,0,0,2,0,0,600,0,0,1200,0,0,69000,69000,100,0,0,82,0,0,32,0,0,50,0,0,12,0,0,300000,0,0,30000,0,0,0,0,0,0,To the project to be implemented soon as possible.,Th group should implement the project at the at a fast rate.,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,1394608885031.jpg,0,1394612162957.jpg,2014-03-11,uuid:1be216d1-c9ef-4a72-9bcb-84c8c0f42372,1be216d1-c9ef-4a72-9bcb-84c8c0f42372,2014-03-14T18:21:26,,
2014-03-07T18:40:07.388+03,2014-03-07T19:09:05.633+03,yes,2013_14,q_2,3,kakamega,butere,mumias,eluche,cap,elu2,20714,20714,100,46,24,70,43,2,3,5,2,6,6,100,7,5,71,3,3,100,70,51,73,0,1,1,100,102,80,78,1050,1050,100,3700,2170,59,24,15,63,2100,0,0,3000,2170,72,290000,290000,100,290000,100,70,70,100,24,46,192,46,24,52,43,43,100,12000,6000,50,800,800,100,40,20,50,300,To improve the project,Good,1394208399978.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hfg,1394208474748.jpg,ehh,1394208510725.jpg,2014-03-07,uuid:eb197b3e-e580-4377-a85d-4c2c892d438e,eb197b3e-e580-4377-a85d-4c2c892d438e,2014-03-17T02:48:37,,
2014-03-14T17:36:04.106+03,2014-03-14T17:54:01.345+03,yes,2012_13,q_3,3,kakamega,butere,mumias,musanda,cap,Y3YY,12600,12600,100,20,26,46,20,3,2,5,3,3,3,100,5,4,80,3,2,67,46,38,83,2,1,1,100,46,40,87,258,1332,516,500,0,0,40,18,45,1500,0,0,800,0,0,300000,300000,100,270000,90,46,46,100,26,26,100,20,20,100,30,30,100,60000,0,0,6000,12000,200,30,20,15,50,Famers to increase acreage of tissue culture banana,The project is doing well,1394808646130.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Vincent ochieng,1394808719447.jpg,Careen mukubi,1394808783994.jpg,2013-03-16,uuid:81e93812-1e4e-4afa-b464-8f9e6a506e96,81e93812-1e4e-4afa-b464-8f9e6a506e96,2014-03-17T09:13:36,,
2014-03-15T19:58:27.542+03,2014-03-15T20:14:48.541+03,yes,2013_14,q_3,2,bungoma,bungoma,sirisia,c_namwela,cap,TG3Z,193200,201050,104,87,150,237,51,3,2,5,1,6,5,83,5,4,80,3,3,100,211,124,59,1,0,0,0,0,0,0,3258,2358,72,2000,0,0,120,91,76,16000,0,0,6000,0,0,366000,366000,100,292250,80,237,237,100,150,150,100,87,87,100,50,50,100,474000,0,0,2000,0,0,0,0,0,0,Members have not started harvesting,None,1394903555155.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Backson Wandabwa,1394903613087.jpg,Bernard Walukana,1394903656726.jpg,2014-03-06,uuid:61840975-4aff-4989-8203-f4a1066e0764,61840975-4aff-4989-8203-f4a1066e0764,2014-03-17T18:44:37,,
2014-03-15T20:15:45.155+03,2014-03-15T20:33:32.237+03,yes,2013_14,q_3,2,bungoma,bungoma,sirisia,kuywa,cap,WDER,192810,198260,103,30,51,81,23,2,3,5,5,3,3,100,5,4,80,3,3,100,81,52,64,1,0,0,0,0,0,0,2060,2060,100,1000,0,0,30,13,43,3600,0,0,1300,0,0,449890,449890,100,403260,90,81,81,100,51,51,100,30,30,100,23,25,109,162000,0,0,3000,0,0,0,0,0,0,Members have not started harvesting,None,1394904584937.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Isaiah palanga,1394904752623.jpg,Geofrey Wanasibwa,1394904789247.jpg,2014-03-09,uuid:7e559a9c-66aa-455c-8fb5-f9c6d425a275,7e559a9c-66aa-455c-8fb5-f9c6d425a275,2014-03-17T20:46:40,,
2014-03-19T10:20:23.515+03,2014-03-19T12:25:19.755+03,yes,2013_14,q_3,3,vihiga,vihiga,sabatia,kivagala,cap,XDEU,642857,444500,69,71,101,172,93,1,4,5,1,6,3,50,3,3,100,3,2,67,100,60,60,0,1,0,0,172,0,0,5000,5000,100,0,0,0,50,7,14,5000,0,0,5000,0,0,1500000,1500000,100,1422200,95,172,172,100,101,101,100,71,71,100,93,93,100,12000000,0,0,2400,0,0,0,0,0,0,None,None,1395221081242.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Emmer .k . Mayodi,1395215124132.jpg,Tonny mido masidza,1395215157723.jpg,2014-03-19,uuid:9d614ad4-2096-41c3-8771-ab85b9648470,9d614ad4-2096-41c3-8771-ab85b9648470,2014-03-19T10:09:57,,
2014-03-16T22:37:46.140+03,2014-03-19T22:53:52.782+03,yes,2013_14,q_3,2,bungoma,bungoma,bumula,bumula_bumula,cap,4KLN,187600,14200,8,20,40,60,18,5,2,7,1,3,3,100,5,5,100,3,2,67,60,30,50,1,1,0,0,60,0,0,1800,0,0,0,0,0,30,8,27,9000,0,0,9000,0,0,376000,376000,100,0,0,30,30,100,40,15,38,-10,15,-149,9,9,100,5670000,0,0,189000,0,0,0,0,0,0,Planting of the plants,Buying the plantlets,1394999928249.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Joseph Ataka,n/a,Festus Nyoti,n/a,2014-03-16,uuid:5a473900-ffc9-41ec-938b-fcb307f00f80,5a473900-ffc9-41ec-938b-fcb307f00f80,2014-03-19T20:01:07,,
2014-03-17T20:45:01.026+03,2014-03-21T18:17:20.884+03,yes,2013_14,q_3,12,bungoma,bungoma,webuye,mahanga,cap,KYTR,800000,83500,10,9,8,17,30,4,1,5,2,4,4,100,20,17,85,0,0,0,0,0,0,0,6,4,67,400,200,50,1910,0,0,50,0,0,10,5,50,1910,0,0,2500,0,0,434700,215000,49,0,0,72,17,24,38,10,26,34,7,21,57,55,96,5252000,0,0,38500,0,0,0,0,0,0,Holes are read for planting this coming rain season,none,1395234933073.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Emanuel Mufumu,1395235051917.jpg,John Walela,1395235837135.jpg,2014-03-17,uuid:bac0c25b-23d4-4676-a597-1c127fec94eb,bac0c25b-23d4-4676-a597-1c127fec94eb,2014-03-21T15:19:12,,
2014-03-10T14:59:34.390+03,2014-03-20T21:51:47.239+03,yes,2013_14,q_3,2,siaya,siaya,ugenya,jera,yap,QOPS,154286,204285,132,16,10,26,8,3,2,5,1,1,1,100,5,4,80,1,1,100,26,16,62,1,0,0,0,360,0,0,450,1210,269,0,0,0,14,4,29,4840,20,0,10000,0,0,360000,360000,100,355840,99,15,26,173,10,10,100,5,16,320,5,8,160,325100,0,0,12504,0,0,0,0,0,0,The project is good but maintaining mannure and watering at this moment,Farmers to practice malching,1394546673408.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,David Ochieng Otieno,1395252819852.jpg,Vancy Jepkoech,1394455188281.jpg,2014-03-10,uuid:8d2b6f73-4f23-4b6a-a891-2af87829085b,8d2b6f73-4f23-4b6a-a891-2af87829085b,2014-03-23T06:48:06,,
